date,Revenue,Gross Profit,Operating Expenses,Sales per Employee,Operating Income (Loss),Cost of Goods & Services,Profit Margin,Selling & Marketing,Abnormal Losses (Gains),"Basic EPS from Cont Ops, Adjusted",EBITDA,Operating Expenses,General & Administrative,Rental Expense
2013-03-31,9.9512,1.7079,1.9782,12180.168,-0.1848,5.9902,-3.2324,0.8866,0.0,-0.0081,0.3241,1.9782,1.6007,0.018
2013-06-30,14.27412,2.6257499999999987,2.1483,17628.6897,0.995,5.9902,5.4203,0.8866,0.0,0.0224,1.4944,2.1483,1.6007,0.018
2013-09-30,14.27412,2.6257499999999987,1.926,17293.935750733395,1.0812,5.9902,6.8664,0.8866,0.0,0.0248,2.9015,1.926,1.6007,0.018
2013-12-31,9.4186,0.5213,0.417,12601.524000585066,0.0057,5.9902,-43.5011,0.8866,0.0,-0.0044,0.4803,0.417,1.6007,0.018
2014-03-31,9.5295,1.333,1.4728,12217.3075,-0.1045,5.9902,-1.5998,0.8866,0.0,-0.0029,0.322,1.4728,1.6007,0.018
2014-06-30,12.007,1.9722,1.8056,15988.0269,0.2063,5.9902,1.3285,1.1281,0.0,0.003,0.6281,1.8056,1.6007,0.018
2014-09-30,11.7686,1.8867,1.55,15276.657757792847,0.3859,5.9902,3.0337,0.8607,0.0,0.009,0.8007,1.55,1.6007,0.018
2014-12-31,8.8122,1.1357,2.1686,12205.2081,-0.993,5.9902,-12.6956,0.5358,0.0,-0.0282,-0.5467,2.1686,1.6007,0.018
2015-03-31,8.4096,0.9677,1.3311,11318.4374,-0.313,5.9902,-3.4489,0.7663,0.0,-0.0073,0.1041,1.3311,1.0169087309551792,0.018
2015-06-30,11.9757,2.1442,1.7356,16205.2896,0.4664,5.9902,3.0169,1.0766,0.0,0.0091,0.8679,1.7356,0.6152,0.0
2015-09-30,14.2732,2.5998,1.7611,17813.254262257513,0.8985,5.9902,5.7869,1.1823,0.0,0.0208,1.3369,1.7611,0.5366,0.015
